Cell_Thickness	Nucleus_Position 
26.24444116	0.790666589
26.40721686	0.814860824
25.64159219	0.483254366
28.42850043	0.782451142
31.18868464	0.866111594
26.52948305	0.474311866
30.79795876	0.599466725
29.47888776	0.476306687
30.16086239	0.407362222
34.43246767	0.647575028
35.93495034	0.675280836
35.50021036	0.797868803
35.94737607	0.512782424
35.50808044	0.46997371
35.60259873	0.42031201
36.54569077	0.831544668
35.83355728	0.539187283
36.97296743	0.684777817
36.99389525	0.512910814
38.2885738	0.74101427
38.9632279	0.537678364
39.17287022	0.421803639
39.6823621	0.75153128
40.93356441	0.795982819
41.32948194	0.78647282
41.31255026	0.616866354
41.384031	0.477946864
41.65154695	0.404863874
41.9904413	0.497284056
42.01325861	0.821923977
42.22693414	0.429455147
42.25879801	0.612791374
42.41458287	0.559141768
42.49885038	0.632823217
42.51803877	0.825582992
42.60229404	0.49000512
42.72899506	0.777133278
42.70879529	0.540086227
42.15608819	0.791811391
41.25826813	0.831285498
41.60585509	0.541109843
41.19565261	0.738084355
40.96009702	0.398065477
40.43107747	0.917766521
40.43673855	0.848415015
40.35583636	0.597245585
40.39883656	0.251120722
40.25967904	0.55623639
40.28022805	0.625650849
40.7512496	0.47035627
40.56608973	0.837945924
41.81262481	0.398787162
41.67338559	0.663884907
41.3185642	0.844671217
41.94527872	0.48970617
42.25883337	0.357776975
42.2592725	0.817771996
42.26487052	0.675762586
42.26290029	0.753643719
42.26144969	0.827843527
42.15426022	0.539685824
41.88450307	0.85627382
41.81901176	0.6915012
41.60585448	0.532957467
41.05791154	0.86851184
40.70878597	0.492871368
40.04905503	0.402817348
40.08574078	0.847553719
39.56307871	0.730753435
39.13857049	0.527487151
37.97931574	0.426238256
39.15824227	0.799387816
38.88553839	0.647629478
37.06618573	0.44591375
37.37051472	0.589192848
36.42674918	0.303839343
37.03738972	0.800520835
36.5883034	0.553453667
36.75969755	0.69833379
35.65928509	0.486615938
36.27585426	0.749913206
32.17539743	0.391089439
36.03424356	0.822772208
31.98216053	0.438998696
33.16097104	0.557735288
30.64525081	0.482108625
34.07745304	0.749567235
29.77187184	0.413486319
30.27563506	0.639508399
31.44857862	0.862690775
29.99772208	0.646357465
28.03734689	0.346944144
29.55983374	0.568046517
29.77765731	0.782554997
29.61094621	0.8285812
27.62163716	0.747531382
32.83544803	0.993732343
31.59998848	0.717985398
32.84766714	0.899943976
31.52956665	0.449760535
33.13754492	0.84880669
32.72917587	0.533463541
32.93539455	0.647100595
33.71206322	0.819372059
33.70715509	0.515835152
34.07879546	0.885210661
34.00338598	0.621615165
33.89566179	0.380016672
33.86708981	0.676967788
34.0851288	0.505177397
33.71269386	0.27789873
33.93851429	0.746949411
34.10603466	0.313090328
33.93371477	0.625589879
34.76083555	0.812672806
34.07167644	0.421320174
35.27425782	0.945575606
35.75502943	0.546966609
36.19175031	0.119826496
36.68586141	0.480478006
36.9700491	0.650790303
37.34686935	0.472631765
37.34425106	0.740389669
37.82628029	0.645969432
37.99001752	0.467406581
37.93686576	0.715514716
38.29192051	0.637042822
39.72628746	0.42301224
40.097288	0.797648261
39.98003429	0.53037925
40.06937625	0.893728296
40.06891604	0.636049988
39.98871074	0.850186273
40.43679309	0.461450392
40.41577619	0.696972669
40.35248259	0.360706515
40.37597599	0.505024686
40.32609742	0.550498479
40.25679148	0.399107336
40.33626663	0.866119114
40.25144177	0.402058444
40.26223342	0.734501748
40.16135602	0.450111425
40.24406509	0.851648861
40.4780906	0.382309307
40.10077231	0.652442533
40.15649749	0.772037442
40.24874063	0.590123613
39.52547227	0.328583356
40.0150943	0.499418913
40.38032165	0.804136843
38.4415568	0.367609426
36.66889547	0.327332011
39.00821845	0.56306444
39.3462523	0.6386728
38.5022647	0.834733159
35.5615121	0.37872337
34.61130647	0.179079858
37.41722211	0.870870769
35.60060897	0.59367939
36.27803375	0.840515716
35.52128628	0.756132255
35.45098871	0.692122414
35.63495824	0.842907882
35.20246735	0.580117414
35.28197468	0.377535817
34.66397999	0.487765455
35.65349552	0.788475553
34.22547085	0.552714255
35.21476346	0.737117837
34.73501601	0.638263514
35.5944262	0.872067673
34.20812	0.819395212
28.65409248	0.767024538
29.48795157	0.792860454
28.47384105	0.455951908
29.67369857	0.833561691
29.49949522	0.590912378
29.49708948	0.36711454
30.20915229	0.810697902
29.74071169	0.544966672
31.86863953	0.828121976
30.23499954	0.444072312
31.26646435	0.56670925
30.23177842	0.347446735
32.11167219	0.716657705
31.85366426	0.483271118
32.7711213	0.895371787
32.22046285	0.561542696
31.81813348	0.275751059
32.78747396	0.589068795
32.88892999	0.844446531
32.56943914	0.432616097
32.84305394	0.715584102
32.80515645	0.354564686
33.31327395	0.625568834
33.84691862	0.831735896
33.17085496	0.337807625
33.99969734	0.626846403
34.08137761	0.486879604
34.13280322	0.787447105
34.10933197	0.383004254
34.17504923	0.686241544
34.30639678	0.551094406
34.50374279	0.719133537
34.66419927	0.420340305
34.80229276	0.688147247
34.76983532	0.807005807
34.92401717	0.529279494
35.23908909	0.892737004
35.33582613	0.465453551
35.4401151	0.625122568
35.87926858	0.509289932
36.04350296	0.871346451
36.03365022	0.644952212
35.99161035	0.330861904
36.13767531	0.459396794
36.22179976	0.722273859
36.177115	0.516942399
36.09285041	0.642347448
35.93612811	0.671647776
36.04083779	0.411579192
35.78927541	0.85451642
35.74093448	0.368466377
35.73279195	0.81266968
35.73056547	0.601733469
35.73354388	0.649304445
35.725872	0.303157523
35.69059764	0.920519204
35.68121103	0.450759835
35.67521598	0.584226698
35.65575467	0.726167039
35.65017522	0.832573189
35.6174635	0.317375948
35.57954654	0.934953305
35.58517164	0.570919604
35.48296866	0.493086132
35.44027811	0.611324626
35.37723975	0.763285525
35.25525967	0.55866223
35.20497171	0.917951396
35.18959114	0.750734284
35.18059696	0.409682259
35.18416385	0.567811961
35.13289121	0.818227718
35.06817987	0.340242869
34.38162894	0.415061095
34.32738732	0.630895096
33.51942846	0.596856581
33.66875631	0.932456593
33.25318696	0.911193782
33.04310414	0.737160875
31.95763661	0.503626811
32.1262665	0.802914762
30.64782467	0.542378947
31.46253952	0.933455377
30.48679061	0.663525841
30.66704397	0.889302096
29.31480734	0.608721699
27.48366133	0.508628138
29.19723939	0.812030645
28.24661686	0.678988655
26.7916117	0.440037276
28.39434986	0.877946254
27.41592908	0.702123536
27.43476438	0.770544917
27.81105602	0.867342597
27.1078279	0.827044448
43.90555657	0.997814228
43.0222682	0.869780992
45.56806805	0.864321614
46.7646004	0.926534008
46.97112537	0.736229201
44.8720805	0.604655892
43.30628442	0.424435231
47.08218126	0.555481908
48.51111916	0.687468109
46.69265012	0.354772434
50.5551498	0.995041427
47.60639143	0.372305533
49.0024758	0.380518041
51.75121721	0.973943898
51.19431782	0.762897585
52.10552012	0.831773886
50.27584647	0.294107002
51.34187931	0.541496456
52.35402531	0.7137228
52.74410172	0.793473971
52.77260299	0.881622207
52.22557988	0.34730449
52.75800166	0.430326348
52.58225993	0.266583878
52.78650676	0.57518831
52.74877092	0.410329157
52.49442555	0.752676535
52.76343012	0.242135413
52.48471303	0.58271782
52.52905345	0.980948296
52.53689084	0.320766651
52.55519394	0.629493228
52.44787194	0.859085965
52.48082305	0.756526817
52.55517777	0.512449246
52.53004337	0.302318895
51.94347013	0.803030093
52.17342296	0.257451926
51.67886052	0.595575914
51.5505063	0.761425064
51.55603473	0.439394705
51.59008798	0.737288513
51.61039187	0.56495133
51.61159625	0.389524984
51.61798593	0.851041602
51.6216427	0.267008398
51.63923951	0.777857559
51.62932366	0.576662341
51.63107787	0.357381224
51.66691359	0.716022275
51.66846026	0.423254724
51.75844932	0.660152814
51.75846147	0.313208825
51.5716792	0.677097458
51.24685347	0.551430418
51.12592983	0.595022566
51.15863738	0.676821131
51.1330403	0.464571222
51.20336488	0.310455934
52.13477164	0.690556064
52.13462455	0.627376301
52.36472209	0.570266031
52.98048938	0.311258939
53.08985784	0.720044892
53.06529469	0.414560333
53.05646527	0.529833357
53.07233312	0.282827183
52.69485451	0.912412079
52.97666295	0.549609723
52.72042551	0.584583212
52.69139445	0.419060747
52.69875554	0.576361675
52.09838093	0.701713679
52.70930359	0.063254634
51.77255346	0.574373244
52.61529296	0.420473869
50.72181464	0.8059512
50.30572201	0.722477409
50.25677162	0.464245783
48.65944831	0.754310103
47.51840671	0.608393648
48.04041754	0.31941456
46.31982088	0.3936618
46.50120615	0.796980527
45.61531321	0.558213425
44.93593339	0.306342507
44.10112124	0.145421265
44.25138391	0.764644011
43.63733365	0.582595365
43.26244207	0.407299801
43.27296484	0.518047587
41.59584564	0.111343155
42.4850953	0.725110763
41.14028309	0.480112019
40.55507651	0.39446916
40.9200841	0.58936653
41.6756389	0.92235948
41.16345124	0.993224464
39.82779042	0.689360299
39.62627608	0.55032017
38.98251536	0.876264761
24.37288104	0.739491476
24.78680176	0.626359233
24.3974119	0.27319426
26.36395389	0.761253803
26.26307915	0.649262484
26.38224639	0.689632725
26.24923501	0.378176885
27.21730236	0.685765486
26.89509921	0.433186526
27.83783397	0.629886063
28.29641436	0.748039475
28.08356725	0.397477036
29.20832764	0.601446962
29.19461634	0.481563209
30.01744554	0.758664776
29.58304608	0.353719637
30.76561433	0.71234364
30.74361222	0.554536597
31.51429395	0.490433435
32.20347746	0.789096376
32.12627231	0.709027774
32.25563438	0.631102572
32.20553201	0.315035751
32.3564853	0.923900557
32.29907073	0.429009138
32.59941913	0.875522879
33.47991865	0.279929483
33.57305535	0.801085028
33.6449301	0.595261622
33.65241627	0.916533648
33.66504732	0.291061456
33.64721997	0.643759001
33.43888716	0.9302579
33.34308183	0.563436458
32.59043828	0.830486371
32.35286531	0.514897199
32.36228214	0.258449463
32.36416208	0.664576733
32.37080934	0.77355532
32.59738608	0.670452361
32.62418036	0.815975513
33.4589179	0.559714663
33.38101696	0.805709121
34.21700037	0.387756131
33.68328705	0.91557036
34.35683623	0.531590125
34.17847008	0.26689716
34.03240552	0.203079113
34.08156443	0.863820549
33.79927306	0.580625634
33.32166625	0.445321045
33.43859247	0.817921347
32.28341275	0.73080024
31.57102376	0.430853688
31.5712238	0.30626391
31.59534886	0.536358343
31.57181487	0.833822511
31.33206038	0.592383414
30.53536028	0.589834355
30.92173645	0.703540355
25.94116372	0.390522425
28.68020967	0.787239556
23.28078089	0.327533228
27.65106979	0.803672931
23.52570982	0.5140731
